50 3.56e-06
1050 0.000147876
2050 0.000329251
3050 0.000565101
4050 0.000718378
5050 0.000947763
6050 0.00120328
7050 0.00133124
8050 0.00160263
9050 0.00180268
10050 0.002115
11050 0.002595
12050 0.003585
13050 0.002809
14050 0.003222
15050 0.003687
16050 0.003392
17050 0.004692
18050 0.00454
19050 0.004191
20050 0.00583
21050 0.004737
22050 0.005032
23050 0.00539
24050 0.006305
25050 0.00755
26050 0.005717
27050 0.006378
28050 0.006503
29050 0.00648
30050 0.006776
31050 0.008633
32050 0.007791
33050 0.008097
34050 0.008317
35050 0.008294
36050 0.011503
37050 0.008871
38050 0.009138
39050 0.011252
40050 0.009962
41050 0.010374
42050 0.01094
43050 0.010444
44050 0.014246
45050 0.011354
46050 0.012899
47050 0.011732
48050 0.012476
49050 0.013715
50050 0.013248
51050 0.013825
52050 0.013153
53050 0.012524
54050 0.01309
55050 0.012995
56050 0.013653
57050 0.014199
58050 0.017627
59050 0.014867
60050 0.014455
61050 0.015044
62050 0.015627
63050 0.015598
64050 0.018179
65050 0.015661
66050 0.016518
67050 0.016602
68050 0.018253
69050 0.017433
70050 0.020964
71050 0.018185
72050 0.018585
73050 0.019378
74050 0.018775
75050 0.021986
76050 0.01984
77050 0.019799
78050 0.019656
79050 0.022764
80050 0.024854
81050 0.022276
82050 0.022243
83050 0.02121
84050 0.022435
85050 0.023576
86050 0.022756
87050 0.024141
88050 0.023796
89050 0.026036
90050 0.023756
91050 0.026255
92050 0.02569
93050 0.024943
94050 0.025243
95050 0.025887
96050 0.027108
97050 0.02626
98050 0.026792
99050 0.026945
100050 0.031134
